KilometresDriveToCBD,Suburb,TotalDwellings2004,TotalDwellings2005,TotalDwellings2006,TotalDwellings2007,TotalDwellings2008,TotalDwellings2009,TotalDwellings2010,TotalDwellings2011,TotalDwellings2012,TotalDwellings2013,TotalDwellings2014,TotalDwellings2015,TotalDwellings2016,Houses2004,Houses2005,Houses2006,Houses2007,Houses2008,Houses2009,Houses2010,Houses2011,Houses2012,Houses2013,Houses2014,Houses2015,Houses2016,Units2004,Units2005,Units2006,Units2007,Units2008,Units2009,Units2010,Units2011,Units2012,Units2013,Units2014,Units2015,Units2016,Apartments2004,Apartments2005,Apartments2006,Apartments2007,Apartments2008,Apartments2009,Apartments2010,Apartments2011,Apartments2012,Apartments2013,Apartments2014,Apartments2015,Apartments2016,Retirement Village Units2004,Retirement Village Units2005,Retirement Village Units2006,Retirement Village Units2007,Retirement Village Units2008,Retirement Village Units2009,Retirement Village Units2010,Retirement Village Units2011,Retirement Village Units2012,Retirement Village Units2013,Retirement Village Units2014,Retirement Village Units2015,Retirement Village Units2016,ConstructionValue2004,ConstructionValue2005,ConstructionValue2006,ConstructionValue2007,ConstructionValue2008,ConstructionValue2009,ConstructionValue2010,ConstructionValue2011,ConstructionValue2012,ConstructionValue2013,ConstructionValue2014,ConstructionValue2015,ConstructionValue2016
,Newlands,47,16,32,17,20,13,22,7,12,12,13,27,37,35,15,24,15,12,7,14,6,8,11,13,17,34,12,1,8,2,8,6,8,1,3,1,0,10,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10592812,4885053,10202437,8757051,6538450,4258522,8124424,12586000,4837060,5653930,5913381,11019654,17841227
11km,Paparangi,5,4,5,4,3,5,6,4,3,1,6,3,7,1,0,3,3,2,2,5,2,3,1,4,1,7,4,4,2,1,1,3,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857450,2756700,2924000,1624180,3492481,1564583,3098520,1528000,2126461,978800,2783900,1442500,2826000
12km,Woodridge,9,18,21,14,4,11,26,11,28,27,20,19,28,9,17,21,14,4,11,16,9,28,17,16,19,28,0,1,0,0,0,0,10,2,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1805000,3564000,4851500,2831600,1281350,2780000,6527000,2425000,6430000,6737400,5597000,4874200,7658300
,Churton Park,111,72,68,63,31,29,21,10,24,23,48,64,38,93,69,66,58,29,28,20,10,19,23,47,57,31,18,3,2,5,2,1,1,0,5,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24644915,18777819,20963628,18567009,9476530,11815575,7026839,16073542,8800890,9813475,18168157,23467851,15044375
,Grenada Village,2,1,2,3,3,19,38,25,25,35,15,13,44,2,1,2,3,3,19,36,23,25,35,15,13,44,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527800,557200,2535500,873300,873300,4771902,9331175,5954946,6250759,10515307,10178380,3942541,18205705
13km,Glenside,2,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750000,395000,768000,113000,105000,0,375000,99600,118000,593500,519000,80000,94995
,Makara,1,1,0,2,1,1,1,1,1,3,3,5,1,1,1,0,2,1,1,1,1,1,3,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462500,647462,33500,3805780,1016200,290853,756000,909139,496000,1469000,1858000,1780760,1173580
14km,Horokiwi,0,0,0,0,0,1,1,0,1,2,0,2,0,0,0,0,0,0,1,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108000,225600,750000,210300,204500,389974,1605000,139500,341000,390000,70000,960883,80500
15km,Ohariu,6,3,1,3,0,6,2,3,2,1,2,2,2,6,3,1,3,0,6,2,2,2,1,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2367595,1678000,933600,1364950,860600,4043000,1659850,1371000,1467000,2497235,1810664,1248600,2138410
16km,Grenada North,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2650000,1393000,3126000,3709600,4391959,178959,639000,4245000,5875000,655220,1600000,394000,115000
17km,Tawa,38,18,27,38,35,39,35,37,21,25,15,23,34,20,7,19,27,32,31,33,28,18,23,9,18,11,12,5,8,11,3,7,2,9,2,2,6,5,19,6,6,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13685967,4563796,8953890,13134507,15465534,19193750,12069553,19783782,19037128,11575003,9534853,10556031,14231221
,Makara Beach,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138000,53937,153000,0,828000,182014,301000,669000,401340,40000,125000,175000,5000
18km,Takapu Valley,1,2,1,1,1,1,0,0,0,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816000,875000,1103500,452000,600000,534000,95000,25000,65000,65800,277192,191000,330000
